svn_revision	git_commit	author_date	author	svn_url	svn_uuid
2	c3a344194cad12c84f76a4e892dd5ac9cf8cdaad	2010-06-12T21:21:46Z	arawerma	https://svn.code.sf.net/p/estab/svn/eStab/trunk	595569ee-1d76-4581-98bb-cbe32a4b19d9
4	2d282ac68a83b9555a1323ace78748abd7c7b23e	2010-06-12T21:47:00Z	arawerma	https://svn.code.sf.net/p/estab/svn/eStab/tags/ver0.9.09	595569ee-1d76-4581-98bb-cbe32a4b19d9
5	1ed27536f869e624bc34a34c25417ec62ef45405	2010-06-12T21:49:17Z	arawerma	https://svn.code.sf.net/p/estab/svn/eStab/trunk	595569ee-1d76-4581-98bb-cbe32a4b19d9
6	6ff21cafe1e85fdf083bfaaf2488ee1f568add67	2010-06-12T21:50:17Z	arawerma	https://svn.code.sf.net/p/estab/svn/eStab/trunk	595569ee-1d76-4581-98bb-cbe32a4b19d9
7	324ec701be505d78a99d2e7268b1c6c9f7166d64	2010-06-12T21:52:56Z	arawerma	https://svn.code.sf.net/p/estab/svn/eStab/tags/ver0.9.10	595569ee-1d76-4581-98bb-cbe32a4b19d9
8	4895e6f07a4e37d4c91a99e4d5e89ba6cbef33ce	2010-06-12T21:56:22Z	arawerma	https://svn.code.sf.net/p/estab/svn/eStab/trunk	595569ee-1d76-4581-98bb-cbe32a4b19d9
9	0c161db043056d12a549dee7f7aa1b1742bd8eaa	2010-06-12T21:57:16Z	arawerma	https://svn.code.sf.net/p/estab/svn/eStab/trunk	595569ee-1d76-4581-98bb-cbe32a4b19d9
10	9029d505364897cef94d07fbb4cd5cbaa851817c	2010-06-12T21:58:15Z	arawerma	https://svn.code.sf.net/p/estab/svn/eStab/tags/ver0.9.11	595569ee-1d76-4581-98bb-cbe32a4b19d9
11	fbd8059ad4e45cea8bf78d0c78e00b7edd387392	2010-06-14T19:13:18Z	arawerma	https://svn.code.sf.net/p/estab/svn/eStab/trunk	595569ee-1d76-4581-98bb-cbe32a4b19d9
12	a87d6e4d93ca382cb04546062c66a6555c45a836	2010-06-14T19:38:39Z	arawerma	https://svn.code.sf.net/p/estab/svn/eStab/trunk	595569ee-1d76-4581-98bb-cbe32a4b19d9
13	969c9e40bed8e1e6210d75195bfde753512f6423	2010-06-14T20:08:44Z	arawerma	https://svn.code.sf.net/p/estab/svn/eStab/tags/ver0.9.12	595569ee-1d76-4581-98bb-cbe32a4b19d9
